Symbol,Security Name,Exchange,Last Updated
EURUSD=X,EUR/USD,FOREX,2025-10-01 01:44:06
GBPUSD=X,GBP/USD,FOREX,2025-10-01 01:44:06
USDJPY=X,USD/JPY,FOREX,2025-10-01 01:44:06
AUDUSD=X,AUD/USD,FOREX,2025-10-01 01:44:06
USDCAD=X,USD/CAD,FOREX,2025-10-01 01:44:06
USDCHF=X,USD/CHF,FOREX,2025-10-01 01:44:06
NZDUSD=X,NZD/USD,FOREX,2025-10-01 01:44:06
EURGBP=X,EUR/GBP,FOREX,2025-10-01 01:44:06
EURJPY=X,EUR/JPY,FOREX,2025-10-01 01:44:06
GBPJPY=X,GBP/JPY,FOREX,2025-10-01 01:44:06
BTC-USD,Bitcoin,CRYPTO,2025-10-01 01:44:06
ETH-USD,Ethereum,CRYPTO,2025-10-01 01:44:06
BNB-USD,Binance Coin,CRYPTO,2025-10-01 01:44:06
XRP-USD,Ripple,CRYPTO,2025-10-01 01:44:06
ADA-USD,Cardano,CRYPTO,2025-10-01 01:44:06
SOL-USD,Solana,CRYPTO,2025-10-01 01:44:06
DOGE-USD,Dogecoin,CRYPTO,2025-10-01 01:44:06
DOT-USD,Polkadot,CRYPTO,2025-10-01 01:44:06
MATIC-USD,Polygon,CRYPTO,2025-10-01 01:44:06
AVAX-USD,Avalanche,CRYPTO,2025-10-01 01:44:06
